State_y,median_income_bgp
Alaska,73792.0019047619
Alabama,48703.24032586558
Arkansas,46772.93665579879
Arizona,63092.42269776388
California,83365.58541424073
Colorado,75532.70878186969
Connecticut,86100.4234792716
District of Columbia,92558.57333333333
Delaware,66094.95113438045
Florida,59878.23624879376
Georgia,59870.475673720386
Hawaii,80847.19460726847
Iowa,59658.38441064639
Idaho,54092.99895941727
Illinois,68237.13178534571
Indiana,55585.309291207646
Kansas,58460.37005529562
Kentucky,51191.46163215591
Louisiana,47552.94884393064
Massachusetts,86561.8098011649
Maryland,87766.41632653061
Maine,56936.84714548803
Michigan,58277.67563271794
Minnesota,73111.3107055961
Missouri,55961.806258322234
Mississippi,43128.96948682386
Montana,54909.122473246134
North Carolina,55557.274411047925
North Dakota,62970.45104895105
Nebraska,61787.714635639924
New Hampshire,75705.61062906725
New Jersey,91060.35671215487
New Mexico,49008.330110497234
Nevada,62161.289373297004
New York,75270.12641349107
Ohio,57323.25451986576
Oklahoma,52309.24047217538
Oregon,67238.87196048633
Pennsylvania,62774.06110084206
Rhode Island,68370.67817509249
South Carolina,51536.06834532374
South Dakota,56011.47751937984
Tennessee,53269.06157575757
Texas,61822.89367761534
Utah,74850.4100591716
Virginia,78614.44762083882
Vermont,60153.5785440613
Washington,80707.10620949195
Wisconsin,61804.970568561876
West Virginia,44653.24560301508
